GEO_ID,NAME,B01003_001E,B01003_001M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
0400000US29,Missouri,6090062,*****
1600000US2938000,"Kansas City city, Missouri",481417,143
1600000US2965000,"St. Louis city, Missouri",311273,*****
1600000US2970000,"Springfield city, Missouri",166633,84
1600000US2915670,"Columbia city, Missouri",120248,60
1600000US2935000,"Independence city, Missouri",117207,51
1600000US2941348,"Lee's Summit city, Missouri",96325,232
1600000US2954074,"O'Fallon city, Missouri",86340,62
1600000US2964550,"St. Joseph city, Missouri",76465,42
1600000US2964082,"St. Charles city, Missouri",69576,50
1600000US2965126,"St. Peters city, Missouri",56838,84
1600000US2906652,"Blue Springs city, Missouri",54370,44
1600000US2924778,"Florissant city, Missouri",51744,46
1600000US2937592,"Joplin city, Missouri",50073,71
1600000US2913600,"Chesterfield city, Missouri",47663,50
1600000US2937000,"Jefferson City city, Missouri",43013,32
1600000US2911242,"Cape Girardeau city, Missouri",39323,38
1600000US2978442,"Wentzville city, Missouri",37485,36
1600000US2953876,"Oakville CDP, Missouri",36827,802
1600000US2979820,"Wildwood city, Missouri",35517,52
1600000US2975220,"University City city, Missouri",34653,33
1600000US2942032,"Liberty city, Missouri",30928,41
1600000US2903160,"Ballwin city, Missouri",30332,44
1600000US2960788,"Raytown city, Missouri",29216,30
1600000US2947180,"Mehlville CDP, Missouri",28376,1153
1600000US2939044,"Kirkwood city, Missouri",27693,42
1600000US2946586,"Maryland Heights city, Missouri",27128,61
1600000US2927190,"Gladstone city, Missouri",26995,60
1600000US2931276,"Hazelwood city, Missouri",25399,36
1600000US2928324,"Grandview city, Missouri",25174,85
1600000US2904384,"Belton city, Missouri",23348,51
1600000US2978154,"Webster Groves city, Missouri",23029,38
1600000US2966440,"Sedalia city, Missouri",21642,28
1600000US2952616,"Nixa city, Missouri",21113,32
1600000US2901972,"Arnold city, Missouri",21107,35
1600000US2923986,"Ferguson city, Missouri",20931,36
1600000US2960752,"Raymore city, Missouri",20743,41
1600000US2900280,"Affton CDP, Missouri",20187,917
1600000US2962912,"Rolla city, Missouri",20117,32
1600000US2977092,"Warrensburg city, Missouri",20025,29
1600000US2954352,"Old Jamestown CDP, Missouri",19439,1072
1600000US2955766,"Ozark city, Missouri",19418,36
1600000US2917272,"Creve Coeur city, Missouri",18445,53
1600000US2923752,"Farmington city, Missouri",18269,24
1600000US2945668,"Manchester city, Missouri",18189,42
1600000US2969266,"Spanish Lake CDP, Missouri",18048,1100
1600000US2916030,"Concord CDP, Missouri",17652,767
1600000US2930214,"Hannibal city, Missouri",17575,166
1600000US2939026,"Kirksville city, Missouri",17483,24
1600000US2959096,"Poplar Bluff city, Missouri",17107,88
1600000US2941438,"Lemay CDP, Missouri",16814,1018
1600000US2914572,"Clayton city, Missouri",16448,26
1600000US2967790,"Sikeston city, Missouri",16366,242
1600000US2961238,"Republic city, Missouri",16044,20
1600000US2925264,"Fort Leonard Wood CDP, Missouri",15882,783
1600000US2955550,"Overland city, Missouri",15787,48
1600000US2940043,"Lake St. Louis city, Missouri",15646,30
1600000US2935648,"Jackson city, Missouri",14826,28
1600000US2937178,"Jennings city, Missouri",14794,24
1600000US2911656,"Carthage city, Missouri",14690,40
1600000US2941168,"Lebanon city, Missouri",14637,24
1600000US2977416,"Washington city, Missouri",13987,24
1600000US2949034,"Moberly city, Missouri",13762,29
1600000US2928090,"Grain Valley city, Missouri",13715,26
1600000US2918253,"Dardenne Prairie city, Missouri",13139,47
1600000US2946316,"Marshall city, Missouri",13001,38
1600000US2963956,"St. Ann city, Missouri",12853,71
1600000US2926182,"Fulton city, Missouri",12799,24
1600000US2978928,"West Plains city, Missouri",12222,35
1600000US2951572,"Neosho city, Missouri",12009,31
1600000US2924094,"Festus city, Missouri",11970,29
1600000US2917218,"Crestwood city, Missouri",11881,35
1600000US2973942,"Troy city, Missouri",11771,24
1600000US2946640,"Maryville city, Missouri",11771,36
1600000US2908398,"Bridgeton city, Missouri",11690,44
1600000US2923086,"Excelsior Springs city, Missouri",11575,100
1600000US2978118,"Webb City city, Missouri",11572,25
1600000US2947648,"Mexico city, Missouri",11544,25
1600000US2907966,"Branson city, Missouri",11345,35
1600000US2974626,"Union city, Missouri",11274,60
1600000US2973618,"Town and Country city, Missouri",11066,36
1600000US2906976,"Bolivar city, Missouri",10760,25
1600000US2904222,"Bellefontaine Neighbors city, Missouri",10613,27
1600000US2922834,"Eureka city, Missouri",10575,30
1600000US2938306,"Kennett city, Missouri",10225,341
1600000US2930610,"Harrisonville city, Missouri",10023,34
1600000US2938072,"Kearney city, Missouri",9778,22
1600000US2910828,"Cameron city, Missouri",9665,285
1600000US2921898,"Ellisville city, Missouri",9581,29
1600000US2968420,"Smithville city, Missouri",9541,24
1600000US2913690,"Chillicothe city, Missouri",9136,253
1600000US2914986,"Clinton city, Missouri",9107,278
1600000US2904906,"Berkeley city, Missouri",8991,28
1600000US2949196,"Monett city, Missouri",8917,39
1600000US2939656,"Ladue city, Missouri",8586,47
1600000US2956272,"Park Hills city, Missouri",8568,21
1600000US2919270,"Des Peres city, Missouri",8567,39
1600000US2971746,"Sunset Hills city, Missouri",8488,24
1600000US2961706,"Richmond Heights city, Missouri",8457,40
1600000US2958394,"Pleasant Hill city, Missouri",8418,46
1600000US2907318,"Boonville city, Missouri",8410,26
1600000US2957116,"Perryville city, Missouri",8403,27
1600000US2951644,"Nevada city, Missouri",8252,468
1600000US2950834,"Murphy CDP, Missouri",8163,472
1600000US2977128,"Warrenton city, Missouri",8129,32
1600000US2908236,"Brentwood city, Missouri",8023,21
1600000US2945830,"Maplewood city, Missouri",8008,24
1600000US2953624,"Oak Grove city, Missouri",8008,81
1600000US2911368,"Carl Junction city, Missouri",7995,24
1600000US2919396,"Dexter city, Missouri",7885,27
1600000US2954650,"Olivette city, Missouri",7837,30
